age,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,internet_quality,mental_health_rating,result,sleep_study_interaction,social_mental_interaction,study_mental_interaction,sleep_study_ratio,study_social_ratio
18,0.0,2.8,1.6,93.4,5.8,1,0,2,5,0,0.0,14.0,0.0,1.0,0.0
18,2.7,2.1,1.9,88.9,8.7,2,4,0,5,2,23.49,10.5,13.5,0.7631578947368421,0.5625
20,4.1,2.7,0.0,89.5,6.5,1,0,1,9,3,26.65,24.3,36.9,0.6132075471698113,0.6029411764705882
21,1.3,0.4,2.3,69.2,5.5,2,1,2,8,1,7.15,3.2,10.4,0.8088235294117647,0.7647058823529411
19,3.8,3.0,0.7,85.5,5.1,1,2,2,4,2,19.38,12.0,15.2,0.5730337078651686,0.5588235294117647
23,3.5,1.3,0.5,89.8,7.8,1,2,2,7,3,27.3,9.1,24.5,0.6902654867256637,0.7291666666666667
24,4.4,0.9,0.0,92.3,5.8,1,3,2,8,3,25.52,7.2,35.2,0.5686274509803921,0.830188679245283
23,3.7,0.7,0.0,78.1,6.6,1,1,1,9,3,24.419999999999998,6.3,33.300000000000004,0.6407766990291262,0.8409090909090908
17,2.0,3.8,0.3,78.4,7.6,1,6,0,5,1,15.2,19.0,10.0,0.7916666666666666,0.3448275862068966
20,5.3,1.7,1.0,79.3,5.9,1,0,2,3,2,31.27,5.1,15.899999999999999,0.5267857142857143,0.7571428571428571
21,3.3,4.3,3.9,90.4,6.4,1,0,2,4,1,21.12,17.2,13.2,0.6597938144329898,0.4342105263157895
24,3.5,1.9,1.2,95.3,6.5,0,6,1,10,3,22.75,19.0,35.0,0.65,0.6481481481481481
20,2.1,0.5,2.0,80.9,7.3,0,3,2,6,2,15.33,3.0,12.600000000000001,0.776595744680851,0.8076923076923077
22,2.8,1.2,2.2,94.1,7.2,1,3,1,10,2,20.16,12.0,28.0,0.72,0.7
21,2.2,4.0,1.9,86.2,6.2,0,0,1,5,1,13.640000000000002,20.0,11.0,0.7380952380952381,0.3548387096774194
23,3.2,2.3,1.7,83.8,6.6,0,0,2,9,2,21.12,20.7,28.8,0.6734693877551019,0.5818181818181819
23,6.1,1.8,0.5,82.9,6.1,2,6,2,3,3,37.209999999999994,5.4,18.299999999999997,0.5,0.7721518987341772
21,1.4,2.7,3.4,92.5,4.7,0,1,1,2,0,6.58,5.4,2.8,0.7704918032786886,0.34146341463414637
23,1.1,3.1,3.8,88.3,6.8,2,6,0,6,1,7.48,18.6,6.6000000000000005,0.860759493670886,0.2619047619047619
19,5.7,3.8,0.0,100.0,8.8,1,3,1,7,3,50.160000000000004,26.599999999999998,39.9,0.606896551724138,0.6
21,3.2,4.2,0.7,76.5,5.4,2,6,2,5,2,17.28,21.0,16.0,0.6279069767441859,0.43243243243243246
