age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,result,sleep_study_interaction,social_mental_interaction,study_mental_interaction,sleep_study_ratio,study_social_ratio
22,0,7.0,2.0,1.0,0,80,7.0,1,1,4,1,7,0,3,49.0,14.0,49.0,0.5,0.7777777777777778
22,1,6.0,3.0,3.0,0,79,6.0,1,0,1,1,5,0,2,36.0,15.0,30.0,0.5,0.6666666666666666
21,1,5.0,3.0,3.0,0,75,5.0,1,0,1,1,5,0,2,25.0,15.0,25.0,0.5,0.625
21,0,6.0,2.0,2.0,0,80,6.0,1,1,4,1,6,1,2,36.0,12.0,36.0,0.5,0.75
22,1,8.0,1.0,1.0,0,90,7.0,1,1,4,1,8,1,3,56.0,8.0,64.0,0.4666666666666667,0.8888888888888888
22,1,7.0,1.0,1.0,0,85,6.0,1,1,4,1,1,1,3,42.0,1.0,7.0,0.46153846153846156,0.875
22,0,7.0,2.0,1.0,0,81,7.0,1,1,1,1,6,0,3,49.0,12.0,42.0,0.5,0.7777777777777778
23,1,6.0,3.0,2.0,0,84,7.0,1,0,1,1,6,0,2,42.0,18.0,36.0,0.5384615384615384,0.6666666666666666
22,0,8.0,1.0,1.0,0,90,7.0,1,1,4,1,8,1,3,56.0,8.0,64.0,0.4666666666666667,0.8888888888888888
23,1,7.0,2.0,1.0,0,85,6.0,1,1,4,1,7,0,3,42.0,14.0,49.0,0.46153846153846156,0.7777777777777778
21,1,6.0,2.0,2.0,0,78,7.0,1,1,1,1,6,0,2,42.0,12.0,36.0,0.5384615384615384,0.75
22,1,6.0,3.0,2.0,0,76,7.0,1,1,1,1,6,0,2,42.0,18.0,36.0,0.5384615384615384,0.6666666666666666
21,0,4.0,3.0,3.0,0,74,8.0,1,0,1,1,4,0,2,32.0,12.0,16.0,0.6666666666666666,0.5714285714285714
23,0,6.0,2.0,2.0,0,78,7.0,1,1,4,1,6,1,2,42.0,12.0,36.0,0.5384615384615384,0.75
21,0,3.0,3.0,4.0,0,70,8.0,1,0,1,1,4,0,2,24.0,12.0,12.0,0.7272727272727273,0.5
22,0,6.0,2.0,2.0,0,77,7.0,1,1,1,1,1,0,2,42.0,2.0,6.0,0.5384615384615384,0.75
23,1,7.0,2.0,2.0,0,78,7.0,1,1,1,1,6,0,2,49.0,12.0,42.0,0.5,0.7777777777777778
21,1,4.0,3.0,3.0,0,70,8.0,1,1,1,1,4,0,2,32.0,12.0,16.0,0.6666666666666666,0.5714285714285714
21,0,6.0,1.0,2.0,0,81,7.0,1,1,4,1,6,1,3,42.0,6.0,36.0,0.5384615384615384,0.8571428571428571
23,0,7.0,1.0,1.0,0,82,7.0,1,1,1,1,6,0,2,49.0,6.0,42.0,0.5,0.875
22,1,6.0,2.0,2.0,0,80,6.0,1,1,4,1,6,0,2,36.0,12.0,36.0,0.5,0.75
23,0,8.0,1.0,1.0,0,82,7.0,1,1,1,1,7,1,3,56.0,7.0,56.0,0.4666666666666667,0.8888888888888888
21,0,4.0,3.0,2.0,0,78,6.0,1,1,4,1,4,0,2,24.0,12.0,16.0,0.6,0.5714285714285714
21,1,6.0,2.0,2.0,0,75,6.0,1,1,1,1,6,0,2,36.0,12.0,36.0,0.5,0.75
23,1,8.0,3.0,2.0,0,78,7.0,1,1,4,1,6,0,2,56.0,18.0,48.0,0.4666666666666667,0.7272727272727273
22,1,3.0,3.0,4.0,0,65,8.0,1,0,1,1,3,0,2,24.0,9.0,9.0,0.7272727272727273,0.5
22,0,7.0,2.0,1.0,0,80,7.0,1,0,4,1,6,0,3,49.0,12.0,42.0,0.5,0.7777777777777778
22,1,5.0,2.0,3.0,0,80,7.0,1,1,4,1,5,1,2,35.0,10.0,25.0,0.5833333333333334,0.7142857142857143
21,0,7.0,1.0,3.0,0,82,7.0,1,1,1,1,7,0,3,49.0,7.0,49.0,0.5,0.875
23,1,9.0,1.0,2.0,0,90,6.0,1,1,3,1,8,1,3,54.0,8.0,72.0,0.4,0.9
21,0,7.0,2.0,2.0,0,85,7.0,1,2,4,1,7,1,3,49.0,14.0,49.0,0.5,0.7777777777777778
22,0,7.0,2.0,2.0,0,85,7.0,1,0,4,1,7,1,3,49.0,14.0,49.0,0.5,0.7777777777777778
23,1,8.0,1.0,3.0,0,83,6.0,1,1,4,1,8,0,3,48.0,8.0,64.0,0.42857142857142855,0.8888888888888888
22,0,8.0,1.0,2.0,0,85,7.0,1,1,3,1,8,1,3,56.0,8.0,64.0,0.4666666666666667,0.8888888888888888
22,1,7.0,2.0,2.0,0,89,6.0,1,1,4,1,7,0,3,42.0,14.0,49.0,0.46153846153846156,0.7777777777777778
22,1,6.0,1.0,2.0,0,78,6.0,1,2,1,1,6,0,2,36.0,6.0,36.0,0.5,0.8571428571428571
21,0,6.0,2.0,2.0,0,78,6.0,1,1,4,1,6,0,2,36.0,12.0,36.0,0.5,0.75
23,1,5.0,2.0,2.0,0,80,8.0,1,1,1,1,6,0,2,40.0,12.0,30.0,0.6153846153846154,0.7142857142857143
21,0,8.0,1.0,1.0,0,88,7.0,1,1,4,1,7,1,3,56.0,7.0,56.0,0.4666666666666667,0.8888888888888888
21,1,7.0,1.0,2.0,0,80,6.0,1,1,1,1,6,0,3,42.0,6.0,42.0,0.46153846153846156,0.875
22,1,5.0,2.0,2.0,0,76,7.0,1,1,1,1,1,1,2,35.0,2.0,5.0,0.5833333333333334,0.7142857142857143
21,1,7.0,2.0,2.0,0,80,7.0,1,1,1,1,1,0,3,49.0,2.0,7.0,0.5,0.7777777777777778
21,0,6.0,1.0,3.0,0,80,7.0,1,1,1,1,7,0,2,42.0,7.0,42.0,0.5384615384615384,0.8571428571428571
22,1,9.0,1.0,1.0,0,95,7.0,1,1,4,1,8,1,3,63.0,8.0,72.0,0.4375,0.9
23,1,7.0,2.0,3.0,0,88,7.0,1,1,4,1,7,0,3,49.0,14.0,49.0,0.5,0.7777777777777778
22,0,6.0,3.0,1.0,0,78,6.0,1,1,1,1,6,0,2,36.0,18.0,36.0,0.5,0.6666666666666666
21,1,7.0,2.0,3.0,0,80,7.0,1,2,1,1,7,1,3,49.0,14.0,49.0,0.5,0.7777777777777778
23,1,5.0,3.0,3.0,0,78,6.0,1,1,1,1,6,0,2,30.0,18.0,30.0,0.5454545454545454,0.625
21,0,7.0,1.0,2.0,0,78,7.0,1,1,4,1,6,1,3,49.0,6.0,42.0,0.5,0.875
22,1,4.0,3.0,3.0,0,75,6.0,1,1,1,1,4,0,2,24.0,12.0,16.0,0.6,0.5714285714285714
21,1,3.0,3.0,3.0,0,70,6.0,1,0,1,1,3,0,2,18.0,9.0,9.0,0.6666666666666666,0.5
21,0,7.0,1.0,2.0,0,78,7.0,1,1,4,1,7,1,3,49.0,7.0,49.0,0.5,0.875
23,1,2.0,4.0,3.0,0,60,6.0,1,0,4,1,3,0,1,12.0,12.0,6.0,0.75,0.3333333333333333
21,0,6.0,2.0,2.0,0,75,7.0,1,1,4,1,6,0,2,42.0,12.0,36.0,0.5384615384615384,0.75
21,0,6.0,2.0,2.0,0,77,6.0,1,1,1,1,6,0,2,36.0,12.0,36.0,0.5,0.75
22,1,7.0,2.0,2.0,0,78,6.0,1,1,4,1,1,1,2,42.0,2.0,7.0,0.46153846153846156,0.7777777777777778
21,1,7.0,2.0,2.0,0,80,7.0,1,1,4,1,1,1,3,49.0,2.0,7.0,0.5,0.7777777777777778
23,1,7.0,1.0,2.0,0,80,7.0,1,1,1,1,1,0,3,49.0,1.0,7.0,0.5,0.875
21,1,6.0,1.0,2.0,0,79,6.0,1,1,1,1,6,0,2,36.0,6.0,36.0,0.5,0.8571428571428571
22,1,8.0,2.0,2.0,0,80,7.0,1,1,1,1,1,0,3,56.0,2.0,8.0,0.4666666666666667,0.8
21,0,7.0,2.0,1.0,0,83,7.0,1,1,4,1,8,1,3,49.0,16.0,56.0,0.5,0.7777777777777778
22,1,7.0,2.0,2.0,0,81,7.0,1,1,4,1,1,1,3,49.0,2.0,7.0,0.5,0.7777777777777778
21,1,5.0,2.0,3.0,0,77,6.0,1,1,1,1,5,0,2,30.0,10.0,25.0,0.5454545454545454,0.7142857142857143
22,0,7.0,2.0,2.0,0,82,7.0,1,1,4,1,1,1,3,49.0,2.0,7.0,0.5,0.7777777777777778
21,0,8.0,2.0,1.0,0,88,7.0,1,1,4,1,7,1,3,56.0,14.0,56.0,0.4666666666666667,0.8
23,1,8.0,1.0,2.0,0,80,7.0,1,1,4,1,1,0,3,56.0,1.0,8.0,0.4666666666666667,0.8888888888888888
21,0,5.0,2.0,2.0,0,75,6.0,1,1,1,1,5,0,2,30.0,10.0,25.0,0.5454545454545454,0.7142857142857143
21,1,7.0,1.0,1.0,0,80,7.0,1,1,4,1,1,1,3,49.0,1.0,7.0,0.5,0.875
22,1,7.0,2.0,3.0,0,80,7.0,1,1,4,1,1,0,3,49.0,2.0,7.0,0.5,0.7777777777777778
23,1,8.0,2.0,3.0,0,83,6.0,1,1,3,1,8,1,3,48.0,16.0,64.0,0.42857142857142855,0.8
21,1,5.0,4.0,3.0,0,78,7.0,1,2,1,1,3,0,2,35.0,12.0,15.0,0.5833333333333334,0.5555555555555556
20,0,8.0,2.0,3.0,0,90,7.0,2,4,3,2,6,1,3,56.0,12.0,48.0,0.4666666666666667,0.8
24,1,3.0,6.0,4.0,1,65,5.0,0,0,2,1,0,0,0,15.0,0.0,0.0,0.625,0.3333333333333333
24,1,2.0,7.0,5.0,0,70,6.0,0,1,2,1,1,1,0,12.0,7.0,2.0,0.75,0.2222222222222222
22,1,7.0,2.0,2.0,0,83,7.0,1,1,4,1,8,1,3,49.0,16.0,56.0,0.5,0.7777777777777778
22,1,4.0,3.0,3.0,0,68,7.0,1,1,1,1,3,0,2,28.0,9.0,12.0,0.6363636363636364,0.5714285714285714
21,1,2.0,4.0,2.0,0,60,6.0,1,1,1,1,3,0,1,12.0,12.0,6.0,0.75,0.3333333333333333
23,0,1.0,3.0,4.0,0,60,6.0,1,0,1,1,2,0,1,6.0,6.0,2.0,0.8571428571428571,0.25
22,0,8.0,3.0,1.0,0,88,6.0,2,0,4,1,9,1,3,48.0,27.0,72.0,0.42857142857142855,0.7272727272727273
21,0,7.0,2.0,2.0,0,80,7.0,1,1,4,1,7,1,3,49.0,14.0,49.0,0.5,0.7777777777777778
23,1,6.0,3.0,3.0,0,82,6.0,1,1,4,1,6,0,2,36.0,18.0,36.0,0.5,0.6666666666666666
22,1,7.0,3.0,1.0,0,80,7.0,1,1,4,1,6,0,3,49.0,18.0,42.0,0.5,0.7
21,1,9.0,2.0,1.0,0,90,7.0,1,1,4,1,9,1,3,63.0,18.0,81.0,0.4375,0.8181818181818182
22,0,8.0,2.0,2.0,0,1,8.0,1,1,4,1,7,0,3,64.0,14.0,56.0,0.5,0.8
22,1,6.0,3.0,3.0,0,78,7.0,1,1,4,1,8,1,2,42.0,24.0,48.0,0.5384615384615384,0.6666666666666666
21,0,9.0,2.0,1.0,0,96,7.0,2,0,4,1,9,1,3,63.0,18.0,81.0,0.4375,0.8181818181818182
21,0,5.0,3.0,4.0,0,75,7.0,1,0,1,1,4,0,2,35.0,12.0,20.0,0.5833333333333334,0.625
22,1,7.0,2.0,2.0,0,81,7.0,1,1,4,1,6,0,2,49.0,12.0,42.0,0.5,0.7777777777777778
23,1,9.0,3.0,1.0,0,88,7.0,1,1,4,1,8,0,3,63.0,24.0,72.0,0.4375,0.75
22,0,8.0,2.0,1.0,0,80,8.0,1,0,1,1,8,1,3,64.0,16.0,64.0,0.5,0.8
22,1,6.0,2.0,2.0,0,76,6.0,1,1,1,1,5,0,2,36.0,10.0,30.0,0.5,0.75
21,1,7.0,2.0,2.0,0,76,7.0,1,1,1,1,5,0,2,49.0,10.0,35.0,0.5,0.7777777777777778
21,1,7.0,3.0,2.0,0,82,6.0,1,0,4,1,6,0,3,42.0,18.0,42.0,0.46153846153846156,0.7
21,0,8.0,2.0,2.0,0,81,7.0,1,0,4,1,7,1,3,56.0,14.0,56.0,0.4666666666666667,0.8
22,0,5.0,3.0,2.0,0,75,7.0,1,1,1,1,1,0,2,35.0,3.0,5.0,0.5833333333333334,0.625
22,0,6.0,2.0,3.0,0,78,7.0,1,1,1,1,6,0,2,42.0,12.0,36.0,0.5384615384615384,0.75
22,1,8.0,2.0,2.0,0,81,7.0,1,0,4,1,7,0,3,56.0,14.0,56.0,0.4666666666666667,0.8
21,0,7.0,2.0,3.0,0,82,7.0,1,1,1,1,7,0,3,49.0,14.0,49.0,0.5,0.7777777777777778
21,0,9.0,3.0,2.0,0,82,7.0,1,1,1,1,6,0,3,63.0,18.0,54.0,0.4375,0.75
22,1,4.0,4.0,3.0,0,78,6.0,1,0,1,1,4,0,2,24.0,16.0,16.0,0.6,0.5
21,0,5.0,3.0,2.0,0,83,7.0,1,1,1,1,5,0,2,35.0,15.0,25.0,0.5833333333333334,0.625
22,0,9.0,2.0,1.0,0,90,7.0,1,1,4,1,8,1,3,63.0,16.0,72.0,0.4375,0.8181818181818182
23,1,7.0,2.0,1.0,0,80,8.0,1,1,4,1,7,0,3,56.0,14.0,49.0,0.5333333333333333,0.7777777777777778
22,0,8.0,2.0,2.0,0,80,6.0,1,1,4,1,7,1,3,48.0,14.0,56.0,0.42857142857142855,0.8
22,1,9.0,1.0,1.0,0,92,6.0,2,1,4,1,8,1,3,54.0,8.0,72.0,0.4,0.9
22,1,4.0,3.0,3.0,0,78,7.0,1,1,1,1,3,0,2,28.0,9.0,12.0,0.6363636363636364,0.5714285714285714
21,0,6.0,2.0,1.0,0,78,7.0,1,1,1,1,3,0,2,42.0,6.0,18.0,0.5384615384615384,0.75
21,1,7.0,2.0,1.0,0,78,7.0,1,1,4,1,4,0,2,49.0,8.0,28.0,0.5,0.7777777777777778
23,1,3.0,3.0,3.0,0,60,7.0,1,0,1,1,2,0,1,21.0,6.0,6.0,0.7,0.5
21,0,5.0,2.0,2.0,0,75,6.0,1,1,4,1,4,0,2,30.0,8.0,20.0,0.5454545454545454,0.7142857142857143
23,1,7.0,2.0,2.0,0,80,6.0,1,0,1,1,6,1,3,42.0,12.0,42.0,0.46153846153846156,0.7777777777777778
24,1,8.0,2.0,2.0,0,78,6.0,1,1,1,1,6,0,2,48.0,12.0,48.0,0.42857142857142855,0.8
23,0,8.0,3.0,2.0,0,82,6.0,1,1,1,1,7,0,2,48.0,21.0,56.0,0.42857142857142855,0.7272727272727273
21,0,7.0,2.0,3.0,0,80,7.0,1,1,1,1,6,0,3,49.0,12.0,42.0,0.5,0.7777777777777778
22,1,9.0,3.0,3.0,0,83,7.0,1,1,1,1,7,0,3,63.0,21.0,63.0,0.4375,0.75
22,1,7.0,2.0,3.0,0,80,6.0,1,1,4,1,6,1,3,42.0,12.0,42.0,0.46153846153846156,0.7777777777777778
21,0,4.0,3.0,3.0,0,79,6.0,1,1,1,1,4,0,2,24.0,12.0,16.0,0.6,0.5714285714285714
21,0,8.0,1.0,2.0,0,80,7.0,1,1,4,1,7,0,3,56.0,7.0,56.0,0.4666666666666667,0.8888888888888888
22,1,7.0,2.0,2.0,0,78,6.0,1,1,4,1,7,0,3,42.0,14.0,49.0,0.46153846153846156,0.7777777777777778
21,1,6.0,2.0,1.0,0,78,6.0,1,1,1,1,6,1,3,36.0,12.0,36.0,0.5,0.75
22,0,9.0,2.0,1.0,0,90,7.0,1,1,4,1,9,1,3,63.0,18.0,81.0,0.4375,0.8181818181818182
22,0,5.0,3.0,3.0,0,75,7.0,1,1,1,1,4,0,2,35.0,12.0,20.0,0.5833333333333334,0.625
22,1,6.0,2.0,2.0,0,82,6.0,1,1,4,1,6,1,2,36.0,12.0,36.0,0.5,0.75
21,0,7.0,3.0,2.0,0,78,6.0,1,0,4,1,6,0,2,42.0,18.0,42.0,0.46153846153846156,0.7
21,1,7.0,2.0,1.0,0,78,7.0,1,0,1,1,6,0,3,49.0,12.0,42.0,0.5,0.7777777777777778
23,1,3.0,4.0,3.0,0,65,6.0,1,0,1,1,2,0,1,18.0,8.0,6.0,0.6666666666666666,0.42857142857142855
21,0,7.0,2.0,3.0,0,78,6.0,1,0,1,1,6,0,2,42.0,12.0,42.0,0.46153846153846156,0.7777777777777778
21,0,8.0,2.0,1.0,0,82,7.0,1,0,4,1,7,0,3,56.0,14.0,56.0,0.4666666666666667,0.8
23,1,7.0,2.0,3.0,0,78,6.0,1,1,1,1,6,0,3,42.0,12.0,42.0,0.46153846153846156,0.7777777777777778
21,1,8.0,2.0,1.0,0,78,6.0,1,1,1,1,6,0,2,48.0,12.0,48.0,0.42857142857142855,0.8
23,1,4.0,5.0,4.0,0,75,7.0,1,2,2,1,2,1,1,28.0,10.0,8.0,0.6363636363636364,0.4444444444444444
24,1,2.0,7.0,5.0,0,75,6.0,0,0,3,0,0,0,0,12.0,0.0,0.0,0.75,0.2222222222222222
23,1,1.0,6.0,3.0,0,75,5.0,0,0,3,1,0,0,0,5.0,0.0,0.0,0.8333333333333334,0.14285714285714285
22,0,4.0,5.0,4.0,0,80,7.0,1,0,3,1,2,1,1,28.0,10.0,8.0,0.6363636363636364,0.4444444444444444
21,0,4.0,5.0,4.0,0,90,7.0,2,2,3,1,3,1,1,28.0,15.0,12.0,0.6363636363636364,0.4444444444444444
24,1,5.0,4.0,3.0,0,80,6.0,1,2,3,1,3,1,2,30.0,12.0,15.0,0.5454545454545454,0.5555555555555556
21,0,6.0,6.0,4.0,0,80,7.0,1,2,3,1,2,0,2,42.0,12.0,12.0,0.5384615384615384,0.5
25,1,6.0,5.0,4.0,0,80,6.0,0,0,3,1,1,1,2,36.0,5.0,6.0,0.5,0.5454545454545454
24,1,4.0,6.0,3.0,0,75,5.0,0,0,3,0,1,0,1,20.0,6.0,4.0,0.5555555555555556,0.4
23,1,3.0,5.0,4.0,0,75,6.0,0,2,3,0,0,0,1,18.0,0.0,0.0,0.6666666666666666,0.375
